#,单词,音标,解释,笔记
1825,"obtain","英:/əbˈteɪn/ 美:/əbˈteɪn/","- vi. 获得；流行
- vt. 获得


时 态:  
obtained, obtaining, obtains 

形容词:  
obtainable",
1826,"obstacle","英:/ˈɒbstəkl/ 美:/ˈɑːbstəkl/","n. 障碍(物), 妨碍",
1827,"obsession","英:/əbˈseʃn/ 美:/əbˈseʃn/","n. 困扰, 无法摆脱的思想(或情感)

形容词:  
obsessional

副 词:  
obsessionally",
1828,"obsess","英:/əbˈses/ 美:/əbˈses/","v. 使痴迷，使迷恋；使心神不宁，不停地困扰； 唠叨；挂牵，念念不忘

时 态:  
obsessed, obsessing, obsesses",
1829,"observe","英:/əbˈzɜːv/ 美:/əbˈzɜːrv/","- vt. & vi. 观察；研究
- vt. 看到；注意到
- 遵守；遵循
- 评论[述]；讲

时 态:  
observed，observing，observes 

副 词:  
observingly",
1830,"observation","英:/ˌɒbzəˈveɪʃn/ 美:/ˌɑːbzərˈveɪʃn/","- n. 注意；观察
- 观察力
- 言论，评论，意见
- 观察资料，观察数据

形容词:  
observational",
1831,"observance","英:/əbˈzɜːvəns/ 美:/əbˈzɜːrvəns/","n. 遵守；仪式；惯例；庆祝",
1832,"oblivion","英:/ə'bliviən/ 美:/əˈblɪviən/","n. 遗忘；赦免；湮没",
1833,"obligate","英:/'ɒblɪgeɪt/ 美:/ˈɑblɪˌɡet/","vt. 使(在法律或道义上)负有责任或义务

时 态:  
obligated, obligating, obligates",
1834,"object","英:/ˈɒbdʒɪkt/ 美:/ˈɑːbdʒekt/","- n. 物体
- 对象；客体
- 目标；意向；目的
- 可笑的人[事物]
- 宾语
- vi. 不赞成，反对；抗议
- vt. 以…为理由反对

时 态:  
objected，objecting，objects  

名 词:  
objector",
1835,"obedience","英:/əˈbiːdiəns/ 美:/əˈbiːdiəns/","n. 服从;顺从;听话",
1836,"oat","英:/əʊt/ 美:/ot/","n. 燕麦,麦片粥
OATabbr. Outer Atmospheric Temperature 外层大气温度",
1837,"nutritive","英:/'njuːtrɪtɪv/ 美:/'njʊtrətɪv/","- adj. 营养的
- n. 富于营养的食物",
1838,"nutritious","英:/njuˈtrɪʃəs/ 美:/nuˈtrɪʃəs/","adj. 有营养的, 滋养的",
1839,"nutrient","英:/ˈnjuːtriənt/ 美:/ˈnuːtriənt/","- n. (食品或化学品)营养物, 营养品
- adj. 营养物的, 营养品的",
1840,"numerous","英:/ˈnjuːmərəs/ 美:/ˈnuːmərəs/","adj. 很多的, 许多的

副 词:  
numerously",
1841,"number","英:/'nʌmbə/ 美:/'nʌmbɚ/","- n. 号码；数字；数；算术；（杂志等的）期
- vi. 计入；总数达到
- vt. 编号；计入；数…的数目；使为数有限


时 态:  
numbered, numbering, numbers 

名 词:  
numberer",
1842,"nudge","英:/nʌdʒ/ 美:/nʌdʒ/","- n. 用肘轻推；推动；没完没了抱怨的人
- vt. 用肘轻推；推进；向…不停地唠叨
- vi. 轻推；推进；唠叨


时 态:  
nudged, nudging, nudges 

名 词:  
nudger",
1843,"nowadays","英:/ˈnaʊədeɪz/ 美:/ˈnaʊədeɪz/","- adv. 现今；时下
- n. 当今",
1844,"now and then","","有时, 时而, 不时",
1845,"novice","英:/ˈnɒvɪs/ 美:/ˈnɑːvɪs/","n. 初学者，新手",
1846,"novel","英:/ˈnɒvl/ 美:/ˈnɑːvl/","- adj. 新奇的；异常的
- n. 小说


副 词:  
novelly",
1847,"notify","英:/ˈnəʊtɪfaɪ/ 美:/ˈnoʊtɪfaɪ/","vt. 通告，通知；公布


时 态:  
notified, notifying, notifies 

名 词:  
notifier",
1848,"notification","英:/ˌnəʊtɪfɪ'keɪʃn/ 美:/'notəfə'keʃən/","n. 通知, 通知单, 通知书",
1849,"noticeable","英:/ˈnəʊtɪsəbl/ 美:/ˈnoʊtɪsəbl/","adj. 显而易见的, 明显的, 显著的

副 词:  
noticeably",
1850,"notice","英:/ˈnəʊtɪs/ 美:/ˈnoʊtɪs/","- n. 通知，布告；注意；公告
- vt. 注意到；通知；留心
- vi. 引起注意


时 态:  
noticed, noticing, notices",
1851,"nothing","英:/'nʌθɪŋ/ 美:/'nʌθɪŋ/","- pron. 没有东西, 没有事情, 没有一点儿
- n. 无关紧要的人[事]",
1852,"note","英:/nəʊt/ 美:/noʊt/","- n. 笔记；注解；便笺；照会；音符；调子；票据；纸币
- vt. 记录；注意；注解


时 态:  
noted, noting, notes 

名 词:  
noter",
1853,"notch","英:/nɒtʃ/ 美:/nɑːtʃ/","- n. 刻痕，凹口；峡谷；等级
- vt. 赢得；用刻痕计算；在…上刻凹痕


时 态:  
notched, notching, notches",
1854,"nose","英:/nəʊz/ 美:/noz/","- n. 鼻子
- 似鼻子的东西
- 嗅觉
- vt. 嗅
- vi. 窥探, 探听, 四处查看
- vt. & vi. 小心翼翼地前进

时 态:  
nosed, nosing, noses",
1855,"north","英:/nɔːθ/ 美:/nɔrθ/","- n. 北，北方
- adj. 北方的；朝北的
- adv. 在北方，向北方

North诺斯(姓氏)",
1856,"normally","英:/ˈnɔːməli/ 美:/ˈnɔːrməli/","adv. 通常; 正常地",
1857,"normal","英:/ˈnɔːml/ 美:/ˈnɔːrml/","- adj. 正常的；正规的，标准的
- n. 常态；正常；标准


副 词:  
normally",
1858,"norm","英:/nɔːm/ 美:/nɔːrm/","n. 规范，基准；定额，分配之工作量",
1859,"noon","英:/nuːn/ 美:/nun/","n. 中午；正午；全盛期",
1860,"nonsense","英:/ˈnɒnsns/ 美:/ˈnɑːnsens/","- n. 谬论；胡扯；胡言乱语；愚蠢的行为；冒失；不可接受的行为；毫无意义的话；没有意义的文章
- int.  荒唐",
1861,"none the less","","adv. 依然",
1862,"none","英:/nʌn/ 美:/nʌn/","- pron. 没有人；没有任何东西；一个也没有
- adj. 没有的，一点没有的
- adv. 决不，一点也不",
1863,"non","/nɔn/","- adv. 非，不
- n. 投反对票的人，反对票",
1864,"nomination","英:/nɒmɪ'neɪʃ(ə)n/ 美:/ˌnɑmɪ'neʃən/","n. 提名,任命",
1865,"nominate","英:/ˈnɒmɪneɪt/ 美:/ˈnɑːmɪneɪt/","vt. 提名；任命；指定；推荐


时 态:  
nominated, nominating, nominates 

名 词:  
nominator",
1866,"noise","英:/nɒɪz/ 美:/nɔɪz/","- n. 噪声，喧哗声
- 声音；响声

时 态:  
noised，noising，noises",
1867,"nod","英:/nɒd/ 美:/nɑːd/","- n. 点头；打盹；摆动
- vt. 点头；点头表示
- vi. 点头；打盹；摆动


时 态:  
nodded, nodding, nods",
1868,"nobody","英:/'nəʊbədɪ/ 美:/ˈnoˌbɑdi/","- pron. 无人，没有人；没有任何人
- n. 小人物；无名小卒",
1869,"ninth","英:/'naɪnθ/ 美:/naɪnθ/","- num. 第九
- adj. 第九的；九分之一的
- n. 九分之一


副 词:  
ninth",
1870,"nine","英:/naɪn/ 美:/naɪn/","- n. 九，九个
- num. 九个；九
- adj. 九的，九个的


形容词:  
nine",
1871,"nights","英:/naɪts/ 美:/naɪts/","adv. 夜间",
1872,"nightly","英:/'naɪtlɪ/ 美:/'naɪtli/","- adj. 每夜的；夜间的
- adv. 每夜


副 词:  
nightly",
1873,"night","英:/naɪt/ 美:/naɪt/","- n. 夜晚，晚上；黑暗，黑夜
- adj. 夜晚的，夜间的",
1874,"nick","英:/nɪk/ 美:/nɪk/","- n. 刻痕；裂口
- 监狱
- 状况良好/不佳；身体健康/不好
- 在最后一刻；在紧要关头；恰是时候
- vt. 偷
- 割伤
Nick尼克(男子名，Nicholas 的昵称)

时 态:  
nicked，nicking，nicks",
1875,"niche","英:/niːʃ/ 美:/niʃ/","- n. （尤指本人合意的）适合的工作（或职位）;称心的工作
- 合宜的小环境
- （尤指用来放置塑像的）壁龛
- adj. （产品）针对特定小群体的
- v.  把……放在壁龛中


时 态:  
niched, niching, niches",
1876,"nice","英:/naɪs/ 美:/naɪs/","- adj. 美好的；美妙的；令人愉快的
- 友好的；好心的
- 细致的；精细的
Nice尼斯(法国港市)

比较级:  
nicer，nicest 

副 词:  
nicely

名 词:  
niceness",
1877,"next","英:/nekst/ 美:/nekst/","- adj. 紧接在后的，次于的
- 贴近的，紧邻的
- adv. 接下去；然后
- 居后地，次于",
1878,"newspaper","英:/'njuːzpeɪpə/ 美:/'nuzpepɚ/","n. 报纸",
1879,"newsletter","英:/ˈnjuːzletə(r)/ 美:/ˈnuːzletər/","n. (给特定读者定期寄发的)通讯;简报;业务通讯",
1880,"news","英:/njuːz/ 美:/nuz/","- n. 新闻；消息
- (可当作新闻内容的)人，物，事

形容词:  
newsless",
1881,"newly-wed","","n. 新结婚的人",
1882,"newlywed","英:/ˈnu:li:ˌwed/ 美:/'njʊlɪ,wɛd/","- adj. 新婚的
- n. 新婚夫妇",
1883,"newly","英:/'njuːlɪ/ 美:/'nuli/","adv. 新近;最近",
1884,"new","英:/njuː/ 美:/nu/","- adj. 新的，新鲜的；更新的；初见的
- adv. 新近


比较级:  
newer, newest 

名 词:  
newness",
1885,"nevertheless","英:/ˌnevəðəˈles/ 美:/ˌnevərðəˈles/","- adv. 仍然, 然而, 不过
- conj. 尽管如此, 然而",
1886,"never","英:/'nevə/ 美:/'nɛvɚ/","adv. 决不；从未",
1887,"network","英:/ˈnetwɜːk/ 美:/ˈnetwɜːrk/","- n. 网状物
- (电视与计算机)网络, 网状系统
- 广播网, 电视网
Network网(络)，(计算机，电路)网络(路)(NET)

时 态:  
networked, networking, networks 

名 词:  
networker",
1888,"net","英:/net/ 美:/net/","- n. 网；净利；网络；实价
- vi. 编网
- vt. 净赚；得到；用网捕
- adj. 纯粹的；净余的


时 态:  
netted, netting, nets 

名 词:  
netter",
1889,"neon sign","","",
1890,"neither","英:/'naɪðə/ 美:/'niðɚ/","- conj. 既不；也不
- adv. 两个都不；既不……也不
- adj. 两者都不的
- pron. 两者都不",
1891,"neighborhood","英:/ˈneɪbəˌhʊd/ 美:/ˈnebɚˌhʊd/","n. 地区;某地区的人;与某处邻近的地区",
1892,"negotiator","英:/nɪˈgəʊʃɪeɪtə(r)/ 美:/nɪ'ɡoʃɪetɚ/","- n. 磋商者;交涉者
- 出售者;交易者;转让者",
1893,"negotiation","英:/nɪˌɡəʊʃiˈeɪʃn/ 美:/nɪˌɡoʊʃiˈeɪʃn/","- n. 协商，谈判
- 完成(难事)；通过",
1894,"negotiate","英:/nɪˈɡəʊʃieɪt/ 美:/nɪˈɡoʊʃieɪt/","vt. 谈判，商议；转让；越过
vi.  谈判，交涉

时 态:  
negotiated, negotiating, negotiates 

名 词:  
negotiator

形容词:  
negotiatory",
1895,"negotiable","英:/nɪˈɡəʊʃiəbl/ 美:/nɪˈɡoʊʃiəbl/","- adj. 可谈判的;可协商的;可商量的
- (票据)可兑现的

名 词:  
negotiability",
1896,"neglect","英:/nɪˈɡlekt/ 美:/nɪˈɡlekt/","- vt. 疏忽，忽视；忽略
- n. 疏忽，忽视；怠慢


时 态:  
neglected, neglecting, neglects",
1897,"negative","英:/ˈneɡətɪv/ 美:/ˈneɡətɪv/","- adj. 拒绝的；怀疑的；不同意的
- 消极的，非建设性的
- 无预期结果的
- 〈数〉负的；〈电〉阴的，负的
- n. 否定词语，否定的观点；拒绝；否认

时 态:  
negatived，negativing，negatives 

副 词:  
negatively",
1898,"negation","英:/nɪˈɡeɪʃn/ 美:/nɪˈɡeɪʃn/","n. 否定，否认；拒绝


形容词:  
negational",
1899,"needs","英:/niːdz/ 美:/nidz/","- adv. （只与must连用）必须地
- n. 需要（need的复数）
- v. 必须；需要；缺少（need的三单形式）",
1900,"needing","","",
1901,"need","英:/niːd/ 美:/nid/","- vt. 需要；必须
- aux.v. 必须
- n. 需要，需求
- 责任，必要
- 需要的东西
- 贫穷；困窘

时 态:  
needed，needing，needs",
1902,"necklace","英:/ˈnekləs/ 美:/ˈnekləs/","n. 项链",
1903,"necessity","英:/nəˈsesəti/ 美:/nəˈsesəti/","- n. 必要(性); (迫切)需要
- 必需品
- 自然规律",
1904,"necessitate","英:/nəˈsesɪteɪt/ 美:/nəˈsesɪteɪt/","vt. 使…成为必要, 需要；迫使

时 态:  
necessitated, necessitating, necessitates 

名 词:  
necessitation

形容词:  
necessitative",
1905,"necessary","英:/ˈnesəsəri/ 美:/ˈnesəseri/","- adj. 必要的; 必需的
- 必然的; 不可避免的
- n. 必需品",
1906,"necessarily","英:/ˌnesəˈserəli/ 美:/ˌnesəˈserəli/","- adv. 必要地，必需地
- 必定地；必然地",
1907,"neatly","英:/'ni:tli/ 美:/ˈnitlɪ/","- adv. 整洁地,干净地
- 灵巧地,利索地
- 恰好地,极好地",
1908,"nearly","英:/'nɪəlɪ/ 美:/'nɪrli/","adv. 几乎; 差不多",
1909,"nearest","/'niərist/","adj. 最近的（near的最高级）",
1910,"nearby","英:/ˌnɪəˈbaɪ/ 美:/ˌnɪrˈbaɪ/","- adj. 附近的，邻近的
- adv. 在附近
- prep. 在…附近",
1911,"near","英:/nɪə/ 美:/nɪr/","- adv. (空间)在近处；在附近
- (时间)临近，来临
- (程度)几乎，差不多，将近
- prep. (表示位置)靠近，在…附近
- (表示时间)将近，快到，临近
- (表示程度)接近，近乎，濒临
- (表示关系)与…近似；与…紧密相关
- (表示过程)到…去从事活动
- (表示数目)大约，接近
- adj. 近的；不远的
- 亲密的；近亲的
- 近似，相似
- vt. & vi. 接近；靠近

比较级:  
nearer，nearest 
缩 写:  
nr

名 词:  
nearness",
1912,"nature","英:/'neɪtʃə/ 美:/'netʃɚ/","n. 自然；性质；种类；本性",
1913,"natural","英:/'nætʃ(ə)r(ə)l/ 美:/'nætʃrəl/","- adj. 天然的，非人为的；非人造的
- （能力）天生的；（特性）固有的
- （食物或饮品）天然的，纯的，无添加剂的
- 正常的；平常的；当然的
- （音符）还原的，本位音的
- n. 天生具有…才能的人，有…天赋的人
- [音]本位音

名 词:  
naturalness",
1914,"nationality","英:/ˌnæʃəˈnæləti/ 美:/ˌnæʃəˈnæləti/","- n. 国籍
- 民族群体",
1915,"national","英:/ˈnæʃnəl/ 美:/ˈnæʃnəl/","- adj. 国家的；国民的；民族的；国立的
- n. 国民


副 词:  
nationally",
1916,"nation","英:/ˈneɪʃn/ 美:/ˈneɪʃn/","n. 国家；民族；国民


名 词:  
nationhood",
1917,"narrow down","","限制；缩小；减少；变窄",
1918,"narrow","英:/ˈnærəʊ/ 美:/ˈnæroʊ/","- adj. 狭窄的，有限的；度量小的；精密的；勉强的
- n. 狭窄部分，隘路；海峡
- vt. 使变狭窄
- vi. 变窄


比较级:  
narrower, narrowest 

形容词:  
narrowish

副 词:  
narrowly

名 词:  
narrowness",
1919,"name","英:/neɪm/ 美:/nem/","- n. 名字，名称
- 名声；名誉
- 著名的人物，名人
- vt. 给…取名
- 说出…的名字，提…的名字；列举
- 决定；任命；提名

时 态:  
named，naming，names 

名 词:  
namer",
1920,"nail","英:/neɪl/ 美:/neɪl/","- vt. 钉；揭露；使固定
- n. 指甲；钉子


时 态:  
nailed, nailing, nails 

名 词:  
nailer",
1921,"mutual","英:/ˈmjuːtʃuəl/ 美:/ˈmjuːtʃuəl/","- adj. 相互的, 彼此的
- 共同的, 共有的

名 词:  
mutuality

副 词:  
mutually",
1922,"must","英:/mʌst/ 美:/məst/","- aux. 必须，一定；很可能；可以，应当
- n. 绝对必要的事物；未发酵葡萄汁",
1923,"musician","英:/mjuː'zɪʃ(ə)n/ 美:/mjʊ'zɪʃən/","n. 音乐家


形容词:  
musicianly

名 词:  
musicianship",
1924,"musical","英:/ˈmjuːzɪkl/ 美:/ˈmjuːzɪkl/","- adj. 音乐的；悦耳的
- n. 音乐片


副 词:  
musically",
1925,"music","英:/'mjuːzɪk/ 美:/'mjuzɪk/","n. 音乐，乐曲",
1926,"mushroom","英:/ˈmʌʃrʊm/ 美:/ˈmʌʃrʊm/","- n. 蘑菇，伞菌；蘑菇形物体；暴发户
- adj. 蘑菇的；蘑菇形的；迅速生长的
- vi. 采蘑菇；迅速增加；迅速生长


时 态:  
mushroomed, mushrooming, mushrooms",
1927,"museum","英:/mju:'ziəm/ 美:/mjuˈziəm/","n. 博物馆",
1928,"municipal","英:/mjuːˈnɪsɪpl/ 美:/mjuːˈnɪsɪpl/","adj. 市的, 市政的

副 词:  
municipally",
1929,"munch","英:/mʌntʃ/ 美:/mʌntʃ/","- vt. 用力咀嚼；大声咀嚼
- vi. 用力咀嚼；大声咀嚼
- n. 用力的咀嚼


时 态:  
munched, munching, munches 

名 词:  
muncher",
1930,"multiple","英:/ˈmʌltɪpl/ 美:/ˈmʌltɪpl/","- adj. 多样的；许多的；多重的
- n. 并联；倍数",
1931,"much","英:/mʌtʃ/ 美:/mʌtʃ/","- adv. 非常, 很, 十分
- 差不多, 几乎
- 很多地, 很大地, 程度极高地
- 很大程度上, 常常
- adj. 许多的, 大量的
- pron. 很多, 大量, 很大程度
- 很好的东西

more 
most",
1932,"mower","英:/ˈməʊə/ 美:/'moɚ/","n. 割草机；割草的人",
1933,"mow","英:/məʊ/ 美:/moʊ/","- n. 草堆；皱眉；谷堆
- vt. 割草；收割庄稼
- vi. 割草；收割庄稼

MOW
- abbr. Ministry of Works 建筑工程部
- 工程部
MOW
- abbr. Ministry of Works 〈新〉建筑工程部
- 〈英〉工程部

时 态:  
mowed, mowed, mown  
mowing, mows 

名 词:  
mower",
1934,"moving","英:/'muːvɪŋ/ 美:/'muvɪŋ/","- adj. 动人的；活动的；移动的
- v. 移动（move的ing形式）


副 词:  
movingly",
1935,"movie","英:/'muːvɪ/ 美:/'muvi/","- n. 电影；电影院；电影业
- adj. 电影的",
1936,"mover","英:/'muːvə/ 美:/'muvɚ/","- n. (会议上的)提议人
- …走动的人
- 兴旺发达的事物; 成功的人; 走红的思想
- 搬家工人",
1937,"move","英:/muːv/ 美:/muv/","- vt. & vi. 移动；搬动
- vi. 搬家，迁移
- 进展，前进，展开
- vt. 使感动，激起
- 提议，要求
- n. 动，移动
- 一步，一着
- 行动，行动步骤
- 迁移，搬家
MOVEabbr. Management of Value Engineering 价值工程管理

时 态:  
moved，moving，moves",
1938,"mouse","英:/maʊs/ 美:/maʊs/","- n. 鼠标；老鼠；胆小羞怯的人
- vt. 探出
- vi. 捕鼠；窥探


复 数: 
mice",
1939,"mount","英:/maʊnt/ 美:/maʊnt/","- vt. & vi. 登上；骑上
- vi. 增加；上升
- vt. 上演；配有…
- 发动攻击；攻击
- n. 山峰
- 坐骑

时 态:  
mounted，mounting，mounts 

形容词:  
mountable

名 词:  
mounter",
1940,"motorcycle","英:/'məʊtəsaɪk(ə)l/ 美:/'motɚ'saɪkl/","n. 摩托车

动 词:  
motorcycle

名 词:  
motorcyclist",
1941,"motor","英:/ˈməʊtə(r)/ 美:/ˈmoʊtər/","- n. 马达, 发动机
- vi. 开[乘]汽车
- vt. 用汽车运送

时 态:  
motored, motoring, motors",
1942,"motivated","英:/'məutiveitid/ 美:/ˈmotɪvetɪd/","- adj. 有动机的,有目的的
- 有积极性的",
1943,"motivate","英:/ˈməʊtɪveɪt/ 美:/ˈmoʊtɪveɪt/","vt. 刺激；使有动机；激发…的积极性


时 态:  
motivated, motivating, motivates 

名 词:  
motivator",
1944,"mother","英:/'mʌðə/ 美:/'mʌðɚ/","- n. 母亲；大娘；女修道院院长
- vt. 生下；养育；像母亲般关怀或照管
- adj. 母亲的；出生地的


时 态:  
mothered, mothering, mothers",
1945,"mostly","英:/ˈməʊstli/ 美:/ˈmoʊstli/","adv. 主要地；多半地；通常",
1946,"mortgage","英:/ˈmɔːɡɪdʒ/ 美:/ˈmɔːrɡɪdʒ/","- n. 抵押借款
- 抵押债款的利息
- vt. 抵押

时 态:  
mortgaged, mortgaging, mortgages",
1947,"morris","/'mɔrɪs/","n. 莫理斯舞(英国传统民间舞蹈,舞者通常为男子,身上系铃,扮民间传说中的人物)
Morris莫里斯(男子名, 姓氏 Maurice 的异体)

形容词:  
morris",
1948,"morning","英:/'mɔːnɪŋ/ 美:/'mɔrnɪŋ/","n. 早晨, 上午",
1949,"moreover","英:/mɔːrˈəʊvə(r)/ 美:/mɔːrˈoʊvər/","adv. 此外；而且",
1950,"morale","英:/məˈrɑːl/ 美:/məˈræl/","n. 士气，斗志",
1951,"moral","英:/ˈmɒrəl/ 美:/ˈmɔːrəl/","- adj. 道德的；精神上的；品性端正的
- n. 道德；寓意


副 词:  
morally",
1952,"moon","英:/muːn/ 美:/mun/","- n. 月亮；月球；月光；卫星
- vi. 闲荡；出神
- vt. 虚度


时 态:  
mooned, mooning, moons",
1953,"moody","英:/ˈmuːdi/ 美:/ˈmuːdi/","adj. 喜怒无常的；易怒的；郁郁寡欢的

Moody穆迪(姓氏)

比较级:  
moodier, moodiest 

副 词:  
moodily

名 词:  
moodiness",
1954,"monthly","英:/ˈmʌnθli/ 美:/ˈmʌnθli/","- adj. 每月的，每月一次的；有效期为一个月的
- n. 月刊
- adv. 每月，每月一次",
1955,"month","英:/mʌnθ/ 美:/mʌnθ/","n. 月，一个月的时间",
1956,"monopoly","英:/məˈnɒpəli/ 美:/məˈnɑːpəli/","n. 垄断；垄断者；专卖权


名 词:  
monopolism

名 词:  
monopolist

形容词:  
monopolistic",
1957,"monitor","英:/ˈmɒnɪtə(r)/ 美:/ˈmɑːnɪtər/","- n. 监视器，监听器，监控器，班长
- vt. 监控


时 态:  
monitored, monitoring, monitors 

名 词:  
monitorship",
1958,"money","英:/ˈmʌni/ 美:/ˈmʌni/","n. 钱；货币；财富",
